"family","genus","species","binomial","type"
"Nymphalidae","Athyma","selenophora","Athyma_selenophora",0
"Nymphalidae","Athyma","fortuna","Athyma_fortuna",1
"Nymphalidae","Limenitis","doerriesi","Limenitis_doerriesi",1
"Nymphalidae","Limenitis","sulpitia","Limenitis_sulpitia",1
"Nymphalidae","Moduza","procris","Moduza_procris",1
"Nymphalidae","Basilarchia","archippus","Basilarchia_archippus",0
"Nymphalidae","Pseudacraea","lucretia","Pseudacraea_lucretia",0
"Nymphalidae","Dophla","evelina","Dophla_evelina",0
"Nymphalidae","Tanaecia","julii","Tanaecia_julii",1
"Nymphalidae","Euthalia","monina","Euthalia_monina",0
"Nymphalidae","Euptera","elabontas","Euptera_elabontas",1
"Nymphalidae","Hamanumida","daedalus","Hamanumida_daedalus",0
"Nymphalidae","Aterica","galene","Aterica_galene",0
"Nymphalidae","Bebearia","sophus","Bebearia_sophus",0
"Nymphalidae","Catuna","crithea","Catuna_crithea",0
"Nymphalidae","Neptis","rivularis","Neptis_rivularis",0
"Nymphalidae","Neptis","hylas","Neptis_hylas",0
"Nymphalidae","Neptis","sappho","Neptis_sappho",1
"Nymphalidae","Neptis","ida","Neptis_ida",1
"Nymphalidae","Lasippa","tiga","Lasippa_tiga",1
"Nymphalidae","Pantoporia","sandaka","Pantoporia_sandaka",1
"Nymphalidae","Neptis","saclava","Neptis_saclava",0
"Nymphalidae","Neptis","pryeri","Neptis_pryeri",1
"Nymphalidae","Pantoporia","hordonia","Pantoporia_hordonia",1
"Nymphalidae","Harma","theobene","Harma_theobene",0
"Nymphalidae","Cymothoe","caenis","Cymothoe_caenis",0
"Nymphalidae","Pseudoneptis","bugandensis","Pseudoneptis_bugandensis",1
"Nymphalidae","Parthenos","sylvia","Parthenos_sylvia",0
"Nymphalidae","Napeogenes","sylphis","Napeogenes_sylphis",1
"Nymphalidae","Napeogenes","inachia","Napeogenes_inachia",1
"Nymphalidae","Napeogenes","tolosa","Napeogenes_tolosa",1
"Nymphalidae","Hypothyris","semifulva","Hypothyris_semifulva",1
"Nymphalidae","Hypothyris","fluonia","Hypothyris_fluonia",1
"Nymphalidae","Hypothyris","euclea","Hypothyris_euclea",1
"Nymphalidae","Hypothyris","daphnis","Hypothyris_daphnis",1
"Nymphalidae","Epityches","eupompe","Epityches_eupompe",1
"Nymphalidae","Ithomia","salapia","Ithomia_salapia",1
"Nymphalidae","Ithomia","iphianassa","Ithomia_iphianassa",1
"Nymphalidae","Ithomia","diasia","Ithomia_diasia",1
"Nymphalidae","Ithomia","celemia","Ithomia_celemia",1
"Nymphalidae","Ithomia","patilla","Ithomia_patilla",1
"Nymphalidae","Ithomia","xenos","Ithomia_xenos",1
"Nymphalidae","Ithomia","drymo","Ithomia_drymo",1
"Nymphalidae","Ithomia","agnosia","Ithomia_agnosia",1
"Nymphalidae","Ithomia","amarilla","Ithomia_amarilla",1
"Nymphalidae","Pteronymia","vestilla","Pteronymia_vestilla",1
"Nymphalidae","Episcada","clausina","Episcada_clausina",1
"Nymphalidae","Ceratinia","tutia","Ceratinia_tutia",1
"Nymphalidae","Callithomia","lenea","Callithomia_lenea",1
"Nymphalidae","Callithomia","hezia","Callithomia_hezia",1
"Nymphalidae","Dircenna","dero","Dircenna_dero",1
"Nymphalidae","Pseudoscada","timna","Pseudoscada_timna",1
"Nymphalidae","Mcclungia","cymo","Mcclungia_cymo",1
"Nymphalidae","Hypoleria","lavinia","Hypoleria_lavinia",1
"Nymphalidae","Godyris","zavaleta","Godyris_zavaleta",1
"Nymphalidae","Methona","confusa","Methona_confusa",1
"Nymphalidae","Methona","themisto","Methona_themisto",0
"Nymphalidae","Oleria","rubescens","Oleria_rubescens",1
"Nymphalidae","Oleria","zelica","Oleria_zelica",1
"Nymphalidae","Oleria","victorine","Oleria_victorine",1
"Nymphalidae","Oleria","vicina","Oleria_vicina",1
"Nymphalidae","Hyposcada","virginiana","Hyposcada_virginiana",1
"Nymphalidae","Mechanitis","mazaeus","Mechanitis_mazaeus",1
"Nymphalidae","Mechanitis","lysimnia","Mechanitis_lysimnia",1
"Nymphalidae","Mechanitis","polymnia","Mechanitis_polymnia",1
"Nymphalidae","Forbestra","olivencia","Forbestra_olivencia",1
"Nymphalidae","Scada","zibia","Scada_zibia",1
"Nymphalidae","Tithorea","harmonia","Tithorea_harmonia",1
"Nymphalidae","Melinaea","menophilus","Melinaea_menophilus",1
"Nymphalidae","Thyridia","psidii","Thyridia_psidii",1
"Nymphalidae","Danaus","chrysippus","Danaus_chrysippus",0
"Nymphalidae","Danaus","gilippus","Danaus_gilippus",1
"Nymphalidae","Danaus","plexippus","Danaus_plexippus",0
"Nymphalidae","Danaus","erippus","Danaus_erippus",0
"Nymphalidae","Danaus","genutia","Danaus_genutia",1
"Nymphalidae","Danaus","eresimus","Danaus_eresimus",0
"Nymphalidae","Tirumala","limniace","Tirumala_limniace",0
"Nymphalidae","Tirumala","septentrionis","Tirumala_septentrionis",0
"Nymphalidae","Tirumala","hamata","Tirumala_hamata",0
"Nymphalidae","Parantica","luzonensis","Parantica_luzonensis",1
"Nymphalidae","Parantica","sita","Parantica_sita",1
"Nymphalidae","Parantica","agleoides","Parantica_agleoides",0
"Nymphalidae","Parantica","aspasia","Parantica_aspasia",1
"Nymphalidae","Ideopsis","vulgaris","Ideopsis_vulgaris",1
"Nymphalidae","Ideopsis","gaura","Ideopsis_gaura",1
"Nymphalidae","Amauris","ellioti","Amauris_ellioti",1
"Nymphalidae","Amauris","tartarea","Amauris_tartarea",1
"Nymphalidae","Amauris","niavius","Amauris_niavius",0
"Nymphalidae","Euploea","eunice","Euploea_eunice",0
"Nymphalidae","Euploea","mulciber","Euploea_mulciber",0
"Nymphalidae","Euploea","camaralzeman","Euploea_camaralzeman",1
"Nymphalidae","Idea","stolli","Idea_stolli",0
"Nymphalidae","Idea","lynceus","Idea_lynceus",0
"Nymphalidae","Idea","leuconoe","Idea_leuconoe",0
"Nymphalidae","Anetia","briarea","Anetia_briarea",1
"Nymphalidae","Lycorea","ilione","Lycorea_ilione",0
"Nymphalidae","Euploea","core","Euploea_core",0
"Nymphalidae","Parantica","aglea","Parantica_aglea",1
"Nymphalidae","Tellervo","zoilus","Tellervo_zoilus",0
"Lycaenidae","Hypolycaena","philippus","Hypolycaena_philippus",0
"Nymphalidae","Libytheana","carinenta","Libytheana_carinenta",0
"Nymphalidae","Libythea","celtis","Libythea_celtis",1
"Nymphalidae","Libytheana","bachmanii","Libytheana_bachmanii",0
